PRODUCTO ;PRECIO ;FOTO;CATEGORIA
TEQ. 1800 A�EJO;340000;https://static.wixstatic.com/media/477dc5_a38c8fcd704947cea504ba860950570a~mv2.png/v1/fill/w_560,h_560,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/477dc5_a38c8fcd704947cea504ba860950570a~mv2.png;TEQUILA 
TEQ. 1800 REPOSADO 750ML;280000;;TEQUILA 
TEQ. OLMECA BLANCO 750 ML;113000;https://licoresjunior.com/wp-content/uploads/2023/12/Mesa-de-trabajo-1-copia-3-2.png;TEQUILA 
TEQ. OLMECA BLANCO 375 ML;58000;;TEQUILA 
TEQ. PATRON REPOSADO 750 ML;330000;https://api.lalicorera.com/storage/extras/licores/86853155-patron-reposado-750ml-b.webp;TEQUILA 
TEQ. PATRON A�EJO 750 ML;380000;;TEQUILA 
TEQ. RANCHO ESCONDIDO 750 ML;65000;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSXAUARRfl6RM6jbYn-siGz8xPg3HKI7YI2Q&s;TEQUILA 
TEQ. DON JULIO 70 750ML;550000;;TEQUILA 
TEQ. PATRON SILVER 750ML;300000;;TEQUILA 
TEQ. HERRADURA ULTRA 750ML;330000;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDdG-yQ5F3ZElBAQkUv8OuVJGjdTv4eRqbaQ&s;TEQUILA 
TEQ 1800 CRISTALINO A�EJO 750ML;400000;;TEQUILA 
TEQ. OLMECA ALTOS REPOSADO 700ML;240000;;TEQUILA 
TEQ. OLMECA ALTOS PLATA 700ML;240000;;TEQUILA 
TEQ. OLMECA REPOSADO 350ML;58000;;TEQUILA 
TEQ. W. CHIVAS EXTRA 13 700 ML;250000;https://s3.amazonaws.com/takami.co/thumbnails/productimage/06f55a2f35cf46a6838583368cdc6dfa/8gyy4rvjcazgpdczuypmny_1280_800.jpg;TEQUILA 
VINO DUBONNET 750ml;98000;https://www.arflina.com/ProductoImagen/gp369/752.jpg;VINO
VINO DUBONNET 375ml;47000;;VINO
VINO FRONT CABER. SAUV. 750 ml;53000;https://olimpica.vtexassets.com/arquivos/ids/892166-800-450?v=637971434090300000&width=800&height=450&aspect=true;VINO
VINO FRONT MERLOT 750 ml;53000;;VINO
